project, status, reproducibleVariants, nonReproducibleVariants, stars
datacube, Not Reproducible, ['user_group.available+=builduser:builduser'; 'home'], ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 448
django-admin-multiple-choice-list-filter, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['environment'; 'home'; 'locales'; 'time'; 'umask'], 53
django-angular, Not Reproducible, ['user_group.available+=builduser:builduser'; 'home'], ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1243
django-db-readonly, Not Reproducible, ['user_group.available+=builduser:builduser'; 'home'; 'timezone'], ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'umask'], 107
django-feature-policy, Fully Reproducible, ['all'], [], 1
django-map-widgets, Not Reproducible, ['user_group.available+=builduser:builduser'; 'fileordering'; 'locales'], ['environment'; 'build_path'; 'home'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 424
django-oscar, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5786
django-pizza, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'exec_path'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], 7
django-token, Not Reproducible, ['user_group.available+=builduser:builduser'; 'exec_path'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], 11
djangocms-installer, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'locales'], ['build_path'; 'home'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 173
docxbuilder, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 22
download, Not Reproducible, ['user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 44
dyn, Not Reproducible, ['user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'], ['environment'; 'build_path'; 'home'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 37
dynamicforms, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 43
easytrader, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'; 'timezone'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'umask'], 7249
edalize, Not Reproducible, ['user_group.available+=builduser:builduser'; 'exec_path'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], 526
exchange-calendars, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'timezone'], ['environment'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'umask'], 291
