projectName,URL,slug
fastdtw,https://github.com/slaypni/fastdtw,slaypni/fastdtw
fastecdsa,https://github.com/AntonKueltz/fastecdsa,AntonKueltz/fastecdsa
fasteners,https://github.com/harlowja/fasteners,harlowja/fasteners
fastentrypoints,https://github.com/ninjaaron/fast-entry_points,ninjaaron/fast-entry_points
faster-closeio,https://github.com/Thermondo/closeio,Thermondo/closeio
fastestimator-nightly,https://github.com/fastestimator/fastestimator,fastestimator/fastestimator
fastgets,https://github.com/ShuJuHeiKe/FastGets,ShuJuHeiKe/FastGets
fastjsonschema,https://github.com/seznam/python-fastjsonschema,seznam/python-fastjsonschema
fastkde,https://github.com/LBL-EESA/fastkde,LBL-EESA/fastkde
fastkml,https://github.com/cleder/fastkml,cleder/fastkml
