project, status, reproducibleVariants, nonReproducibleVariants, stars
oemthermostat, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
discord-buttons, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
approvaltests, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
sslyze, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
pysupercluster, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], -1
keras-transformer, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
google-cloud-bigtable, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
python-rake, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
django-readonly-field, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
brottsplatskartan, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
binary, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
zookeeper, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 22
word2vec, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 2509
webrtcvad, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 1684
vk-api, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 1274
validx, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 16
urlextract, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 212
ulid2, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 31
twitterapi, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 916
trio-asyncio, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 166
tox-travis, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 205
tfhelper, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 2
textgenrnn, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 4916
tencentcloud-sdk-python-tsw, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
tencentcloud-sdk-python-tem, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
tencentcloud-sdk-python-taf, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
tencentcloud-sdk-python-iir, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
tencentcloud-sdk-python-ecm, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
technopy, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 3
tableaudocumentapi, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 300
stone, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 395
stix2-patterns, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 20
stackprinter, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 1249
speak2mary, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 2
socketio-client, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 442
sobol-seq, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 67
snuggs, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 17
simple-term-menu, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 397
selenium-base, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 3385
sbvirtualdisplay, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 4
saspy, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 335
samsungtvws, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 164
runai, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 115
quantum-gateway, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 14
qiskit-terra, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3674
pyzbar, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 614
pytricia, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 193
pythondata-cpu-rocket, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 11
python-pcre, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 57
