project, status, reproducibleVariants, nonReproducibleVariants, stars
github.com/caarlos0/env, Fully Reproducible, ['all'], [], 3626
github.com/armon/go-metrics, Fully Reproducible, ['all'], [], 1300
github.com/grpc-ecosystem/go-grpc-middleware, Fully Reproducible, ['all'], [], 5484
github.com/gofiber/fiber/v2, Fully Reproducible, ['all'], [], 26992
github.com/allegro/bigcache, Fully Reproducible, ['all'], [], 6601
github.com/klauspost/cpuid, Fully Reproducible, ['all'], [], 834
github.com/spf13/cobra, Fully Reproducible, ['all'], [], 32423
github.com/mitchellh/go-homedir, Fully Reproducible, ['all'], [], 930
github.com/eapache/go-resiliency, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1513
github.com/syndtr/goleveldb, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5744
github.com/hashicorp/vault, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 27976
github.com/mattn/goveralls, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 757
github.com/creack/pty, Fully Reproducible, ['all'], [], 1412
github.com/go-playground/universal-translator, Fully Reproducible, ['all'], [], 311
